data,produto,preco,cidade_estado,bairro,loja
2025-04-20,Filé de Tilápia Resfriada Carrefour Aprox. 900g,59.57, Jundiai - SP,Vila Vioto,Hipermercado Jundiai
2025-04-20,Filé de Tilápia Resfriada Carrefour Aprox. 400g,29.59, Jundiai - SP,Vila Vioto,Hipermercado Jundiai
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,42.25, Jundiai - SP,Vila Vioto,Hipermercado Jundiai
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.29, Osasco - SP,Vila Yara,Hipermercado Osasco
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,64.79, Osasco - SP,Vila Yara,Hipermercado Osasco
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,42.25, Osasco - SP,Vila Yara,Hipermercado Osasco
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,32.77, Osasco - SP,Vila Yara,Hipermercado Osasco
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.28, Piracicaba - SP,Terras de Piracicaba,Hipermercado Piracicaba
2025-04-20,Filé de Tilápia Resfriada Carrefour Aprox. 900g,59.57, Piracicaba - SP,Terras de Piracicaba,Hipermercado Piracicaba
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.79, Praia Grande - SP,Vila Guilhermina,Carrefour Bairro Central Praia Grande
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,57.79, Praia Grande - SP,Vila Guilhermina,Carrefour Bairro Central Praia Grande
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,39.9, Praia Grande - SP,Vila Guilhermina,Carrefour Bairro Central Praia Grande
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.29, Presidente Prudente - SP,Jd Das Rosas,Hipermercado Presidente Prudente
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,65.99, Presidente Prudente - SP,Jd Das Rosas,Hipermercado Presidente Prudente
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,39.9, Presidente Prudente - SP,Jd Das Rosas,Hipermercado Presidente Prudente
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.79, Salto - SP,Vila Nova,Carrefour Bairro Salto
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,34.39, Salto - SP,Vila Nova,Carrefour Bairro Salto
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.39, Santana de Parnaíba - SP,Alphaville,Carrefour Bairro Alphaville
